Gene.symbol	ID	adj.P.Val	P.Value	t	B	logFC	Gene.title
CEP152	239413_at	0.04554	0.00177651	-3.7753463	-1.122474	-1.62429451	centrosomal protein 152
	AFFX-ThrX-3_at	0.04553	0.00177307	3.7762867	-1.120673	3.35981595	
KIAA1033	212794_s_at	0.04553	0.00177077	3.7769141	-1.119471	1.02344836	KIAA1033
ATF5	204998_s_at	0.04553	0.00177154	-3.7767042	-1.119873	-1.21407864	activating transcription factor 5
VARS2	226200_at	0.04553	0.00177291	-3.7763296	-1.120591	-1.23673059	"valyl-tRNA synthetase 2, mitochondrial"
OGFOD3	219254_at	0.04553	0.00177377	-3.7760943	-1.121041	-2.87525423	2-oxoglutarate and iron dependent oxygenase domain containing 3
POP7	209482_at	0.04551	0.00176892	-3.7774197	-1.118502	-1.06320493	"POP7 homolog, ribonuclease P/MRP subunit"
PFKFB2	226733_at	0.04549	0.00176705	3.777932	-1.117521	1.32994825	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
METTL13	212407_at	0.04549	0.00176638	-3.7781149	-1.11717	-1.47634208	methyltransferase like 13
PLEKHA8	224208_at	0.04543	0.00176302	3.7790369	-1.115404	1.43328887	pleckstrin homology domain containing A8
	216559_x_at	0.04541	0.00176092	-3.7796136	-1.114299	-1.07629488	
TMEM143	222905_s_at	0.04541	0.00176172	-3.779396	-1.114716	-1.60020579	transmembrane protein 143
	244418_at	0.04537	0.0017584	3.780307	-1.112971	1.97561189	
PIK3CG	206370_at	0.04537	0.00175674	3.7807668	-1.11209	1.88624913	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
KNL1	228323_at	0.04537	0.00175797	-3.7804272	-1.112741	-1.39383143	kinetochore scaffold 1
PSMC3	201267_s_at	0.04536	0.0017556	-3.7810795	-1.111491	-1.18057678	"proteasome 26S subunit, ATPase 3"
SIGLEC5	220000_at	0.04528	0.00174718	3.783407	-1.107033	3.2831453	sialic acid binding Ig like lectin 5
FCER1G	204232_at	0.04528	0.0017513	3.7822659	-1.109219	2.0936714	Fc fragment of IgE receptor Ig
	1564950_at	0.04528	0.00175168	3.7821626	-1.109417	1.42594913	
FCAR	211305_x_at	0.04528	0.00174959	3.782739	-1.108313	1.40447226	Fc fragment of IgA receptor
USF3	242508_at	0.04528	0.00174548	3.7838782	-1.10613	1.05638401	upstream transcription factor family member 3
UMPS	215165_x_at	0.04528	0.00174918	-3.7828543	-1.108092	-1.12414089	uridine monophosphate synthetase
LOC100996696///PABPC4	201064_s_at	0.04528	0.00175018	-3.7825782	-1.108621	-1.30797659	polyadenylate-binding protein 4 pseudogene///poly(A) binding protein cytoplasmic 4
INF2	224469_s_at	0.04528	0.00175104	-3.7823385	-1.10908	-2.64188448	"inverted formin, FH2 and WH2 domain containing"
RCHY1	214281_s_at	0.04525	0.00174307	3.7845467	-1.10485	1.36047594	ring finger and CHY zinc finger domain containing 1
	241016_at	0.04508	0.00173482	3.7868455	-1.100447	2.49651777	
FGF7	1555102_at	0.04507	0.00173355	3.7871991	-1.099769	2.96869892	fibroblast growth factor 7
NOLC1	211951_at	0.04507	0.00173219	-3.7875806	-1.099038	-1.09180229	nucleolar and coiled-body phosphoprotein 1
FARS2	204283_at	0.04507	0.00173364	-3.7871758	-1.099814	-1.31418187	"phenylalanyl-tRNA synthetase 2, mitochondrial"
MIR7113///MIR4691///NDUFS8	232169_x_at	0.04502	0.00172903	3.7884641	-1.097346	1.06899813	microRNA 7113///microRNA 4691///NADH:ubiquinone oxidoreductase core subunit S8
